Horario,Lunes,Martes,Miércoles,Jueves,Viernes
10:00 - 10:30,,,"Base de Datos (Teoría)
10:00 - 13:00
Aula Android, Ed. CIyTT",,
10:30 - 11:00,,,,,
11:00 - 11:30,,,,,
11:30 - 12:00,,,,,
12:00 - 12:30,,,,,
12:30 - 13:00,,,,,
13:00 - 13:30,,,,,"Minería de Datos y ML (teoría, aula 14)"
13:30 - 14:00,,,,,
14:00 - 14:30,,,"Visualización de Big Data
Teoría - Aula 9",,
14:30 - 15:00,,,,,
15:00 - 15:30,,"Visualización Big Data
Práctica - Aula 9",,,
15:30 - 16:00,,,,,
16:00 - 16:30,,,,,
16:30 - 17:00,,,,,
17:00 - 17:30,,,,,
17:30 - 18:00,,,,,
18:00 - 18:30,,,,"BD (Práctica) 18:00
Aula 9",
18:30 - 19:00,,,,,
19:00 - 19:30,,Tecnologías para la Gestión,,Tecnologías para la Gestión,
19:30 - 20:00,,,,,
20:00 - 20:30,,,,,
20:30 - 21:00,,,,,
21:00 - 21:30,,,,,
21:30 - 22:00,,,,,
